"Edad (años)","Talla (cm)","Grupo sanguíneo","Rh"
29,167,"O","Positivo"
28,150,"O","Positivo"
29,163,"O","Positivo"
35,161,"A","Positivo"
35,158,"O","Negativo"
30,171,"A","Positivo"
26,163,"O","Positivo"
25,162,"O","Positivo"
40,164,"O","Positivo"
32,157,"O","Negativo"
35,159,"O","Negativo"
27,166,"O","Positivo"
28,164,"B","Positivo"
36,150,"A","Negativo"
36,173,"AB","Positivo"
30,150,"O","Positivo"
39,153,"A","Positivo"
28,158,"A","Positivo"
29,164,"O","Positivo"
26,158,"O","Positivo"
34,165,"O","Positivo"
32,174,"A","Positivo"
39,160,"A","Positivo"
36,160,"O","Positivo"
24,164,"A","Positivo"
39,155,"AB","Positivo"
36,170,"O","Positivo"
24,162,"A","Positivo"
35,176,"A","Negativo"
27,165,"O","Positivo"
34,166,"O","Negativo"
30,168,"A","Positivo"
39,170,"AB","Negativo"
37,170,"A","Negativo"
36,166,"A","Positivo"
21,165,"A","Positivo"
33,160,"A","Positivo"
31,165,"A","Positivo"
29,169,"B","Positivo"
30,157,"O","Positivo"
38,162,"B","Positivo"
35,160,"O","Negativo"
33,157,"A","Positivo"
33,156,"O","Positivo"
35,167,"A","Positivo"
39,164,"A","Positivo"
31,159,"O","Positivo"
32,150,"O","Positivo"
37,172,"O","Positivo"
23,155,"O","Positivo"
31,158,"A","Negativo"
35,170,"O","Positivo"
30,162,"O","Positivo"
37,158,"A","Negativo"
26,160,"O","Positivo"
38,162,"O","Positivo"
36,169,"O","Positivo"
27,170,"O","Positivo"
41,158,"A","Positivo"
38,160,"A","Positivo"
31,162,"O","Positivo"
19,160,"O","Positivo"
29,159,"A","Positivo"
39,165,"O","Positivo"
33,163,"A","Positivo"
31,168,"B","Positivo"
33,150,"A","Positivo"
41,154,"O","Positivo"
32,160,"A","Positivo"
37,162,"A","Positivo"
36,172,"O","Positivo"
36,167,"O","Positivo"
36,158,"A","Positivo"
38,165,"A","Positivo"
23,162,"O","Positivo"
38,165,"B","Positivo"
35,168,"O","Positivo"
26,169,"O","Positivo"
34,162,"B","Positivo"
22,170,"A","Positivo"
35,169,"O","Positivo"
34,164,"O","Negativo"
32,164,"B","Positivo"
38,167,"A","Positivo"
28,160,"A","Positivo"
36,164,"O","Positivo"
33,161,"A","Positivo"
35,165,"O","Positivo"
35,155,"B","Positivo"
35,160,"A","Negativo"
19,155,"B","Positivo"
40,170,"B","Positivo"
35,167,"O","Positivo"
38,167,"O","Positivo"
37,158,"A","Positivo"
35,170,"O","Negativo"
31,157,"A","Positivo"
